PLAYER,TEAM,AFFILIATION,YEAR,"ROUND
NUMBER","ROUND
PICK","OVERALL
PICK"
CADE CUNNINGHAM,Detroit Pistons,Oklahoma State,2021,1,1,1
JALEN GREEN,Houston Rockets,Ignite (G League),2021,1,2,2
EVAN MOBLEY,Cleveland Cavaliers,Southern California,2021,1,3,3
SCOTTIE BARNES,Toronto Raptors,Florida State,2021,1,4,4
JALEN SUGGS,Orlando Magic,Gonzaga,2021,1,5,5
JOSH GIDDEY,Oklahoma City Thunder,NBA Global Academy (Australia),2021,1,6,6
JONATHAN KUMINGA,Golden State Warriors,Ignite (G League),2021,1,7,7
FRANZ WAGNER,Orlando Magic,Michigan,2021,1,8,8
DAVION MITCHELL,Sacramento Kings,Baylor,2021,1,9,9
ZIAIRE WILLIAMS,New Orleans Pelicans,Stanford,2021,1,10,10
JAMES BOUKNIGHT,Charlotte Hornets,Connecticut,2021,1,11,11
JOSHUA PRIMO,San Antonio Spurs,Alabama,2021,1,12,12
CHRIS DUARTE,Indiana Pacers,Oregon,2021,1,13,13
MOSES MOODY,Golden State Warriors,Arkansas,2021,1,14,14
COREY KISPERT,Washington Wizards,Gonzaga,2021,1,15,15
ALPEREN SENGUN,Oklahoma City Thunder,Besiktas (Turkey),2021,1,16,16
TREY MURPHY III,Memphis Grizzlies,Virginia,2021,1,17,17
TRE MANN,Oklahoma City Thunder,Florida,2021,1,18,18
KAI JONES,New York Knicks,Texas,2021,1,19,19
JALEN JOHNSON,Atlanta Hawks,Duke,2021,1,20,20
KEON JOHNSON,New York Knicks,Tennessee,2021,1,21,21
ISAIAH JACKSON,Los Angeles Lakers,Kentucky,2021,1,22,22
USMAN GARUBA,Houston Rockets,Madrid (ESP),2021,1,23,23
JOSH CHRISTOPHER,Houston Rockets,Arizona State,2021,1,24,24
QUENTIN GRIMES,LA Clippers,Houston,2021,1,25,25
BONES HYLAND,Denver Nuggets,Virginia Commonwealth,2021,1,26,26
CAM THOMAS,Brooklyn Nets,Louisiana State,2021,1,27,27
JADEN SPRINGER,Philadelphia 76ers,Tennessee,2021,1,28,28
DAY'RON SHARPE,Phoenix Suns,North Carolina,2021,1,29,29
SANTI ALDAMA,Utah Jazz,Loyola-Maryland,2021,1,30,30
ISAIAH TODD,Milwaukee Bucks,Ignite (G League),2021,2,1,31
JEREMIAH ROBINSON-EARL,New York Knicks,Villanova,2021,2,2,32
JASON PRESTON,Orlando Magic,Ohio,2021,2,3,33
ROKAS JOKUBAITIS,Oklahoma City Thunder,BC Zalgiris (Lithuania),2021,2,4,34
HERBERT JONES,New Orleans Pelicans,Alabama,2021,2,5,35
MILES MCBRIDE,Oklahoma City Thunder,West Virginia,2021,2,6,36
JT THOR,Detroit Pistons,Auburn,2021,2,7,37
AYO DOSUNMU,Chicago Bulls,Illinois,2021,2,8,38
NEEMIAS QUETA,Sacramento Kings,Utah State,2021,2,9,39
JARED BUTLER,Sacramento Kings,Baylor,2021,2,10,40
JOE WIESKAMP,San Antonio Spurs,Iowa,2021,2,11,41
ISAIAH LIVERS,Detroit Pistons,Michigan,2021,2,12,42
GREG BROWN III,New Orleans Pelicans,Texas,2021,2,13,43
KESSLER EDWARDS,Brooklyn Nets,Pepperdine,2021,2,14,44
JUHANN BEGARIN,Boston Celtics,Paris (France),2021,2,15,45
DALANO BANTON,Toronto Raptors,Nebraska,2021,2,16,46
DAVID JOHNSON,Toronto Raptors,Louisville,2021,2,17,47
SHARIFE COOPER,Atlanta Hawks,Auburn,2021,2,18,48
MARCUS ZEGAROWSKI,Brooklyn Nets,Creighton,2021,2,19,49
FILIP PETRUSEV,Philadelphia 76ers,KK Mega Leks (Serbia),2021,2,20,50
BRANDON BOSTON,Memphis Grizzlies,Kentucky,2021,2,21,51
LUKA GARZA,Detroit Pistons,Iowa,2021,2,22,52
CHARLES BASSEY,Philadelphia 76ers,Western Kentucky,2021,2,23,53
SANDRO MAMUKELASHVILI,Indiana Pacers,Seton Hall,2021,2,24,54
AARON WIGGINS,Oklahoma City Thunder,Maryland,2021,2,25,55
SCOTTIE LEWIS,Charlotte Hornets,Florida,2021,2,26,56
BALSA KOPRIVICA,Charlotte Hornets,Florida State,2021,2,27,57
JERICHO SIMS,New York Knicks,Texas,2021,2,28,58
RAIQUAN GRAY,Brooklyn Nets,Florida State,2021,2,29,59
GEORGIOS KALAITZAKIS,Indiana Pacers,BC Nevezis (Greece),2021,2,30,60
